description,genres
"River James knew he was in trouble. Without water and afoot, the Saudi desert would kill him in 24 hours. Now, it appeared that the whole country had fallen into the abyss of lawlessness and bloodletting. The man who taught him the ropes years earlier warned him it would happen and to pray he wasn't there when it did. Too late to pray now. Soon, it became apparent the harsh environment wasn't the only thing trying to kill him. Follow River on a nine day journey conquering starvation, defeating dehydration, and dodging death, amidst destruction and Bloodletting…","84, 28, 1, 8, 33, 86, 89"
"Amidst the turmoil of World War II, Moira finds herself in the rolling hills and hard work of the Women's Land Army. Known for her carefree spirit, Moira lives by the mantra ""life is too short not to have fun."" But beneath her light-hearted facade lies a deep-seated fear of commitment and love, rooted in her parents' divorce during her childhood, and reflected in her trail of failed relationships.

As Moira throws herself into her duties, the arrival of an American soldier, sent to help protect New Zealand from the Japanese, challenges her resolve to remain unattached. When an unwanted pregnancy complicates her life, Moira is forced to confront her past and her fears. She is determined that her child will not endure the same lonely childhood she did.

With the war raging around them, Moira must navigate the complexities of love, responsibility, and her own deep-seated fears. In a time of uncertainty and change, Moira's journey of self-discovery and bravery will captivate readers and remind us all that sometimes, the greatest battles are fought within.","84, 38, 192, 17, 86, 1, 89, 29, 17"
"20 years ago, the earth as we know it has changed.

It was integrated into a bigger earth or you call it as real earth.

The earth as we know it is nothing more than a bunch of islands in a large ocean below a humongous continent. 

The humongous continent is full of technology and magic cultivators.

The nearby third rate faction was enough to win against the united force of earth.

Even the nuclear warheads are useless in front of strong magic and technology.

Later it was found out that the previous earth is just a time capsule sanctuary to preserve the bloodlines that are about to go extinct.

The world changed and the era of magic cultivation started.

……………

A soul of a social scum that is shameless to the core has transmigrated from another earth that is completely ordinary in the multiverse.

He was born in this new earth after 20 years of change towards the magic cultivation and higher technology.

“Oh this world seems to be different.

There is magic and super technology.

Then where is my cheat as a transmigrator.”

“Tring 

Congratulations host for obtaining the shameless scum villain system.”

“Fuck I am not a villain.

How can a righteous, benevolent, handsome and considerate man like me become a villain?

In the previous life I have helped my land lord take care of his wife, sister and daughter,

I took care of my good brother’s wife when he went out on a business trip,

I have even helped my boss with the problem of not having children.

I have helped the good old people meet the god soon.

I have helped those scum people to contact with wine and woman to punish them many diseases in their long life…..

System, come out and explain why a good person like me become a villain….?”

“Tring 

It is detected that host is the most shameless person on his universe, 

Host’s shamelessness is so great that even the demons in the lowest level of hell don’t want you, fearing that you would green them or take their thrones.

So the system has selected the host and brought you into this world.”

“Well… okay I will reluctantly accept you, so where is my novice gift pack.”

“Tring

Novice gift pack is opened.

Host has obtained opportunity assessment skill maxed out.”","84, 14, 120, 1, 77"
"The island of Martha's Vineyard bubbles with anticipation— summer approaches, as does the first Sheridan wedding in decades.

Susan Sheridan left her life in Newark almost a year ago. Since then, Susan, Christine, Lola, Audrey, and Amanda have lived out every life milestone under the sun— from divorce to new loves, illnesses, to second-chance romances, and beyond.

Now, after a year of cancer and healing, it's time for Susan Sheridan to have her happily-ever-after with her high school sweetheart, Scott. There is so much to be done before the huge event—but Susan Sheridan is good at staying busy. And when a woman gets into a bit of trouble on the island and needs Susan's legal assistance, Susan can't help but step in and take charge. This is just her way.

And a criminal trial on the island is set to keep Susan and the rest of the Sheridan clan on their toes. It is set to be another spring and summer of unforgettable memories.

Dive into this new women's fiction series by heading to Martha's Vineyard— a backdrop of white sand and crystal blue waters that follow the stories of the Sheridan clan. A heartwarming journey of friendship, loss, and love that will have you wanting the next book.

For fans of Caroline Brown, Debbie Macomber, and Susan Mallory.","84, 29, 112, 1, 88, 18"
"A marriage between two lost souls who finally come together after decades as ""just friends."" A mysterious little girl with a secret past. And a struggle with IVF that continues to demand courage and inner strength.

It's finally time for Carmella to marry the love of her life -- her best friend turned boyfriend turned fiancé, Cody. As she grapples with her new role as stepmother to Gretchen, she learns some surprising news about her own situation -- and finds herself rewriting a future she'd once thought would be aimless and incredibly lonely.

Alyssa has only loved one person in her life -- her high school boyfriend, Hunter, who she broke up with over four and a half years ago. His surprise appearance at a loft party in Brooklyn ignites Alyssa's soul all over again, but the joy is short-lived. Rather soon, Alyssa learns that Hunter is in the depths of a depressive spell and must go to rehab. As she attempts to help him, she discovers that he has a little girl in his care, a beautiful curly-haired blonde without a name. As Hunter heads to rehab, Alyssa is left with the depths of Hunter's secrets, hopeful to discover ways to help both him and his little girl.

Meanwhile, Alyssa finds her sister, Maggie, a worthy team-mate in this sudden and very strange version of ""motherhood."" Throughout this time, Maggie struggles through her first round of IVF, bouncing over emotional hurdles and demanding much more of herself than she can always give.

Dive into book seven of The Katama Bay Series -- a heartwarming journey of motherly and sisterly love, healing, and promise for better days, all on the island of Martha's Vineyard, with its gorgeous ocean views, its endless summer days, and its bubbly cast of islanders.","84, 38, 192, 1, 88, 29"
"When Bluestar's hometown celebrity unexpectedly returns to the island, there's a heartbreaking scandal following her…

Country singer Emma Bell is finally making headlines—just not the right ones. Before she has time to heal her broken heart, her assistance is desperately needed. Bluestar's Concert on the Beach Summer Spectacular is in trouble, and her soon-to-be sister-in-law's job is on the line.

Financial investor turned carpenter, Noah Sullivan, has retired from his high-stress job due to health issues. He's moved to Bluestar Island for a quiet, healthy life, but when Emma blows into town, his days are anything but serene.

Everyone in the small town counting on them, Noah and Emma must work past their conflicts to keep a promise to someone special to both of them. Will the summer's sun soothe their tension and the sea breeze lull them into a peaceful surrender of their hearts?

Includes a recipe for Emma's Heavenly Angel Food Cake!

Scroll up now and one-click Rising Star and escape with this small-town summer romance.

The Bell Family of Bluestar Island series:

Book 1 – Love Blooms (Hannah & Ethan)
Book 2 – Harvest Dance (Aster & Sam)
Book 3 – A Lighthouse Café Christmas (Darla & Will)
Book 4 – Rising Star (Emma & Noah)

Book 5 – Summer by the Beach (Summer & Greg)","84, 1, 88, 29"
"Award-winning author, Alex Kava pulls readers into the middle of the storm and has them gasping for air even as they turn the next page. A trailblazer in the K9 mystery genre, Kava creates a ""dynamic between Ryder and his canines that reveals a world rarely shared in fiction and perhaps nowhere presented more effectively than in this series."" —Phil Jason, Florida Weekly

A STORM IS COMING

In Alabama: A deadly outbreak of tornadoes sends K9 handlers, Ryder Creed and Jason Seaver with their scent dogs, Grace and Scout to search for survivors. As storms intensify and Ryder and Jason race against time to save victims, they end up racing to save themselves.

NOT EVERYONE'S STORM IS THE SAME.

In Chicago: Francine ""Frankie"" Russo is irritated when her young co-worker calls at 5:00 am for a video-chat and catches her in only a towel. She's so annoyed with Tyler Gates that she's barely paying attention when two men confront him on the street. In a matter of seconds, Frankie witnesses Tyler's murder. Then the killers pick up the phone. And suddenly, they know what Frankie looks like, who she is, where she works and lives. She knows absolutely nothing about them. But one thing's for certain—they're coming for her next.

WHEN THE STORM HITS . . .

Frankie calls the only people she knows can help: her childhood friend, Hannah Washington and Hannah's business partner, Ryder Creed. Hannah tells her to ""come on home,"" and she arranges a meeting for Frankie to meet with FBI agent Maggie O'Dell.

Meanwhile in the Florida Panhandle: Creed's sister, Brodie is dealing with her own storm. She's realizing that after sixteen years of captivity, surviving was only the first step.

With the killers hot on her trail, Frankie races to meet Maggie. But she has no idea that she's driving straight into the grasp of another killer—a monster storm system. She and Maggie will need Ryder and Jason's help, but no one is safe from the devastation. And by the time the sky clears, none of them will ever be the same.

WHO WILL BE STRONG ENOUGH TO SURVIVE?

In Desperate Creed Alex Kava, once again, delivers her signature trademark combining ""well-developed characters"" (Publishers Weekly) with ""a highly original plot"" (Suspense Magazine) then packing it with ""twists, turns and suspense galore"" (Modern Dog). ""Did I mention the dogs? They and their human partners are simply the heart and soul of everything."" (Florida Weekly)","84, 1, 33, 86, 89"
"A joyous wedding. A surprise move to the city. Doubts, secrets, and fears during a Nantucket Solstice that the Copperfield Family will never forget.

Sometimes change is a good thing. Sometimes it's not.

Greta receives a surprise letter from a long-lost friend. What begins as a joyous reunion ends in her dear friend's death -- and endless confusion for Greta. What was her friend up to the past two decades? Why is she such a mystery? And what does it all have to do with Greta and her ""lost years"" at The Copperfield House?

Greta is consumed with questions. She sets out on a journey to learn more.

Meanwhile Alana prepares to marry the love of her life in a cozy ceremony at The Copperfield House. But her soon-to-be stepdaughter Sarah is off for the chance of a lifetime to act in an off-Broadway play in Manhattan. Alana soon finds her wrapped up in a world she abandoned years ago -- and questioning if she gave up on her dreams too soon.

Dive into book ten of this women's fiction series set on the Island of Nantucket. A glorious world of beautiful beaches, frothing waves, cobblestone streets, and a beloved cast of characters. The series tells the story of the Copperfield Family, their return to Nantucket Island, and their healing after decades of pain and loneliness. Together, they can be better than ever before.","84, 24, 38, 192, 1, 88, 29"
"A hero to some. A villain to many. The truth forever buried.

The man who became known as Esrahaddon is reported to have destroyed the world’s greatest empire — but there are those who believe he saved it. Few individuals are as divisive, but all agree on three facts: He was exiled to the wilderness, hunted by a goblin priestess, and sentenced to death by a god — all before the age of eight. How he managed to survive and why people continued to fear his name a thousand years later has always been a mystery . . . until now.

From the three-time New York Times best-selling author Michael J. Sullivan, Esrahaddon is the final novel in The Rise and Fall trilogy. This latest set of stories sits snugly between the Legends of the First Empire books and the Riyria tales (Revelations and Chronicles). With this novel, Michael continues his tradition of unlikely heroes who must rise to the call when history knocks, demanding to be let in. This is the nineteenth full-length novel in a body of work that started in 2008 and spans four series.","84, 14, 120, 1, 85"
"Retired Navy SEAL Lawson Holland has lost everything.

Disillusioned and wrestling with demons from his past, he goes deep into the wilderness to quiet his own nightmares.
But Holland's search for solace is interrupted when a freak accident puts him face to face with the one man he holds responsible for his loss - the President of the United States.

Two years earlier, President Galen Tolliver's reckless foreign policy resulted in the death of Holland's son. Now, caught in the middle of a rapidly unfolding assassination plot, Holland is the last man standing between Tolliver and certain death.
Faced with an impossible choice, Holland finds himself fighting a war he didn't want. With terrorists, assassins and corrupt politicians closing in, Holland is in a race to get to the truth and expose the plot - but how far is he willing to go?

The Blood of Tyrants is the first book in the fast-paced Lawson Holland thriller series. This high-intensity, shocking technothriller in the style of Tom Clancy, Brad Taylor, Vince Flynn, Brad Thor and Nelson DeMille will grab you on page one and won't let you go. Get The Blood of Tyrants today!","84, 1, 33, 86, 89"
