description,genres
"When Samantha's pharmaceutical company is threatened, there's nothing she won't do as CEO to save it. That includes stealing a drug formula from the Spectrum Institute, and selling it as her own.

She's certain that her newer formula is more effective, but she needs a test subject to confirm. Someone within her control, and loyal. She thought she'd found that with Richard, an ex-military security guard on her staff. But his hot, hungry glances and constant insubordination are driving her to distraction, in more ways than one.

When Samantha realizes the drug has unintended side effects, sending its subjects into primal frenzies, she doesn't want to believe it. She can't afford to. Then, a primal regression strikes Richard. Not only is she begging him to take her, but she learns just how intoxicating a regression can be.","84, 29"
"Lucy is learning to let things change. With her books in hand and a garden to tend, she decides that  training Lilibet as a therapy animal is a good plan. But there are other challenges to face, including a mysterious species of animal visiting her farm, and the fact that veterinarian Arthur Elliot has asked her to go to the pub with him. Is Lucy ready for changes like these?","84, 29, 112"
"Donna talks to the waitresses down at le Panorama and starts to plan what she and the customer rep's wife might wear to supper.
I manage to talk to the customer rep on the telephone.
The customer rep asks me, “Is le Panorama some kind of sleazy place that will turn my wife off?  I have enough problems with her right now and I certainly don't need any more problems.” 
I lecture him, “The place is a really nice restaurant.  The food is good, the service is good.  The waitresses are young, attractive and they work topless.  However, they're waitresses, not whores.  They smile, take orders, serve the food and do what any other waitress in a high class restaurant does, only they do it topless.”
The customer rep asks, “Then, you have been to the place?”
“Yes, I took my wife and we had supper there, in order to know what to expect.  I like the place.  My wife liked the place, but she was a little worried that I might be distracted by the topless waitresses.  She took steps to make sure that I remembered that she was still my lady, once we got home.”  (This last is called, in the business world, puttin' in the old hookaroo!)
The customer rep says, “Look, Gary, I need this topless restaurant thing to work.  How do we make sure it works?”  (Once the customer rep starts to call me by my first name, I have him hooked.  Now it's just a matter of hooking his wife as well!)
“George, the ladies who go to the restaurant have a sort of style of their own.  They're not topless, but they maybe show a bit more than they would at another place.  Far be it for me to tell a lady how to dress for an evening out.  However, my wife needs to talk to your wife.  Donna can kind of ease Corrine into the idea of le Panorama and what a lady needs to wear there, given what the other ladies there are wearing.”
George says, “It does sound like a good idea for your wife to talk to my wife.  However, Donna does need to be very careful here.”
“George, my wife was a bit skittish about going to le Panorama.  However, she went and saw how it words, for herself.  Donna will know what your wife's fears are, before we visit the restaurant and she'll be able to talk to Corrine, woman to woman, to prepare your wife for her first visit to le Panorama.  Since it'll be Corrine's first visit to a topless place, some preparation will work very well here.”
George says, “Okay, I'll have Corrine call Donna.  It sounds like the way to go.  However, Donna needs to remember that around our home area, things are rather conservative and Corrine is a bit worried, maybe more than just a bit worried.”
“George, leave it to Donna.  I have known Donna since we were in school together and Donna is pretty conservative for our area.  Donna isn't some kind of wild child, she's the kind of woman who can talk to your wife.  If Corrine talks to Donna, I'm sure that Corrine will come out here ready to at least try le Panorama.  If Corrine tries le Panorama, I'm sure she'll have much the same reaction that Donna did and your problems should be over.”
George then asks, “By the way, what do I wear?”
“The same thing that you would wear to any other fancy restaurant.  Definitely a jacket, however, a tie isn't required.  One other thing, our waitress will be very friendly to you.  She's being paid to be so friendly.  The idea is to make your wife a bit jealous.  However, absolutely no touching!  Also staring isn't the way to go, although it won't get you thrown out.”
George says, “Right!  I have your home phone and I'll have Corrine call Donna.”
“Sounds good.  Donna and I can't wait to see you and your wife.”
Afterward, I talk with Donna.  I tell her, “You need to do your very best here.  If we can cure George, the customer rep's problem, I'll get a nice promotion and we’ll get a raise in pay.”
Donna says, “As long as you remember it's we curing George's problem.”
“Donna, we need to work as a team, always!”","84, 29, 112"
"*From USA Today bestselling author Libby Campbell comes this sexy romance series. This is book 3 of the completed series. Each book, as well as the series, ends with a happily ever after.*

Stranded in his savage land, she must learn to trust. But first she must learn to obey.

After Takyu witnesses a violent incident while travelling to a nearby city to buy medicine for her village, Sheriff Falcon Kingski takes her into custody.

Locked in a cell for a humiliating interrogation, she soon learns that the stern, handsome lawman is not to be trifled with. Defiance earns her a sound spanking on her bare bottom.

The painful, embarrassing chastisement leaves Takyu sore yet intensely aroused. It isn’t long before the sheriff claims her properly.

Their bond strengthens as they work together to catch a dangerous fugitive and to uncover the cause of the illness ravaging her homeland. When Takyu reveals a long-held secret, she knows she is facing strict punishment.

Disclaimer: Bound To The Sheriff includes spankings and sexual scenes. They are for entertainment purposes only. If such spicy material offends you, please don't buy this book. This standalone novel is book 3 in the Lighthouses of Devmaer series. It has a satisfying ending and can be read on its own or as part of the series.","84, 29"
"""This story is packed with so much action and heat."" ~ Within The Pages Book Blog

They came from different worlds. 

Logan Tisdale was a NYC socialite. 

Jack Black was a TX bar bouncer. 

And they believed their love would last forever. 

Then tragedy struck.

Logan returned to NYC to heal.

While Jack became a Navy SEAL. 

Years later, Logan is kidnapped by a drug cartel kingpin who intends to auction her off to the highest bidder.

But he's made a fatal mistake. 

Jack Black is meaner than evil.

Will Jack and Logan have a second chance at love? 

""Top class ex-military taking care of business! What a team! Can't wait to read about each and every one!"" ~ Goodreads review","84, 29, 175"
"Er ist nicht auf der Suche nach einer Schicksalsgefährtin …
Drachenlord Storm steht vor einem Ultimatum: Er muss eine Braut finden, um sein Erbe antreten zu können. Doch er lässt sich nicht herumkommandieren. Als eine Heiratsvermittlerin ihm sagt, wo er nach seiner Gefährtin suchen soll, ist er fest entschlossen, sich zu weigern.
Leider muss man manche Befehle befolgen. Vor allem, wenn sie vom König kommen. Und als er River erblickt, eine menschliche Frau aus einer diplomatischen Delegation, ist er fest entschlossen, sie zu seiner Gefährtin zu machen.
Der Plan ist eigentlich ganz einfach. Bis ein Angriff River, Storm und zwei diplomatische Delegationen in Gefahr bringt. Da er sich nur auf River verlassen kann, wird Storm bald herausfinden, aus welchem Holz seine Gefährtin geschnitzt ist.
Aber kann er seine starke und lebhafte menschliche Gefährtin davon überzeugen, sich auf ihn zu verlassen und ihn als ihren Gefährten zu akzeptieren?","84, 30, 1, 29, 14, 121, 86"
"Nicholas and Olivia Atwater entertain in this ""rollicking and deeply satisfying steampunk adventure"" (Jacquelyn Benson), which acts as an introductory prequel novella to the Tales of the Iron Rose.

The Ebon Warden is about to execute the wrong goblin.

The Ebon Warden has sentenced Captain William Blair to hang for another goblin's crime. Thankfully, he's got his sharp wits, his loyal crew, and a long history of dubious behaviour on his side. When the man who's supposed to hang next to Wil offers his help, however, the crew of the Iron Rose is unexpectedly drawn into local politics. Soon, the stakes are far higher than any one goblin... and the only way out of a dreadful disaster is to steal from the Ebon Warden herself.

Praise for A Matter of Execution

""I dare you not to fall in love with this goblin captain and his crew of reckless and utterly charming misfits as they pull off the heist of the century! A rollicking and deeply satisfying introduction to the steampunk adventure world of the Tales of the Iron Rose."" —Jacquelyn Benson, author of Empire of Shadows

""Delightful, swashbuckling fun!"" — Stephanie Burgis, author of Snowspelled and Good Neighbors

""A swashbuckling adventure with brilliant dialogue, a diverse (and delightful!) crew of characters, more than a couple of twists, and - pineapple!"" — Intisar Khanani, author of The Sunbolt Chronicles

""An exciting sky-faring adventure with the goblin Captain Blair and his diverse and lovable crew."" — Trudie Skies, author of The Thirteenth Hour","84, 14, 86, 120, 30, 177"
"A Dying World…
Humanity On The Brink…
New Threats Emerge…

America faces a full-scale collapse— This gritty, edge-of-your-seat post-apocalyptic adventure chronicles the harrowing journey of ordinary people trapped in an encroaching dark age. With food and supplies in short supply following a massive solar storm, Scott Montgomery and his small group of survivors venture out to protect their town, looking for anything they can scavenge to survive.

When they come upon a new enemy while trying to save Scott's niece. They realize the country has fallen under the control of a ruthless new power. One with superior numbers and strength and a ruthless plan for the planet. It's kill or be killed in this non-stop action adventure centered around a small coastal town, as the survivors of a rapidly dying world struggle to stay alive.
The Catalyst Series is a classic tale of survival and good versus evil, except you may not know which side is which until the very end.

If you like pulse-pounding action, solid science, resourceful warriors, and unexpected twists and turns, you'll love this new survival thriller from Bestselling author JK Franks. This is a no-holds-barred adventure that will leave you breathless! Perfect for fans of Bobby Akart, Boyd Craven, Kyla Stone, Franklin Horton, ML Banner, Ryan Schow, Grace Hamilton, Harley Tate, and Jack Hunt.

Get your copy today and strap yourself in for the ride of your life. You won't believe what happens.","84, 19, 30, 86, 1, 174"
"She's the best pilot in the galaxy...he's an arrogant alien duke

Major Zara Reid has one mission - prove human pilots can fly alongside the alien Latharians. She didn't expect their arrogant Lord Starfighter to try and undermine her at every turn. As much as she tries to stay away from him, his chiseled features and amber eyes awaken flames of desire she can't ignore, no matter how much of an arrogant ass he is.

He commands the empire's fiercest pilots… He has no time to pander to fragile humans

As a royal duke, and the Empire's Lord Starfighter, Traax doesn't have time for the human pilots foisted upon him by his meddling cousin. Distractions like the human pilot commander, Zara are unforgivable… no matter how beautiful she is, or how much he yearns to make her his. Until one night causes mating marks to appear, and binds them as fated mates. Now she's his to protect at all costs.

When saboteurs strike and leave Zara stranded on an abandoned space station, Traax must put everything aside to rescue his fated mate. To reach Zara, he'll have to go up against one of the most dangerous enemies a Latharian can face--the vicious, carnivorous Krin. 

Willing to sacrifice his life for the defiant and beautiful human who sets his soul on fire, can Traax best the ultimate challenge for any warrior, or is their happily-ever-after doomed before it can start?","84, 30, 86, 29, 175"
"At the frozen edge of the solar system lies a hidden treasure which could spell their fortune or their destruction—but only if they survive each other first.

Marcus Warnoc has a little problem. His asteroid mining ship—his inheritance, his livelihood, and his home—has been hijacked by a pint-sized corporate heiress with enough blackmail material to sink him for good, a secret mission she won't tell him about, and enough courage to get them both killed. She may have him dead to rights, but if he doesn't turn the tables on this spoiled Martian snob, he'll be dead, period. He's not giving up without a fight.

He has a plan.

Miranda Foxgrove has the opportunity of a lifetime almost within her grasp if she can reach it. Her stolen spacecraft came with a stubborn, resourceful captain who refuses to cooperate—but he's one of the few men alive who can snatch an unimaginable treasure from beneath the muzzles of countless railguns. And if this foulmouthed Belter thug doesn't want to cooperate, she'll find a way to force him. She's come too far to give up now.

She has a plan.

They're about to find out that a plan is a list of things that won't happen.","84, 30, 86, 1, 174, 176"
